PartitionKey,RowKey,CountryCode,Latitude,Longitude,SW_Lat,SW_Lon,NE_Lat,NE_Lon,lat radians,long radians
Germany,Munich,DE,48.165723,11.532932,47.98586688,11.26324375,48.34557912,11.80262025,0.840650453,0.201287636
Slovak Republic,Bratislava,SK,48.16816,17.162596,47.98830388,16.8928949,48.34801612,17.4322971,0.840692987,0.299543808
Austria,Vienna,AT,48.243407,16.33293,48.06355088,16.0628315,48.42326312,16.6030285,0.842006295,0.285063405
Canada,Saguenay,CA,48.383445,-71.082347,48.20358888,-71.35318822,48.56330112,-70.81150578,0.844450419,-1.240620995
Canada,Thunder Bay,CA,48.425595,-89.238302,48.24573888,-89.50936756,48.60545112,-88.96723644,0.845186075,-1.557502189
Canada,Victoria,CA,48.467247,-123.32841,48.28739088,-123.5996976,48.64710312,-123.0571224,0.84591304,-2.152486816
Russia,Khabarovsk,RU,48.483333,135.083333,48.30347688,134.8119595,48.66318912,135.3547065,0.846193793,2.357648925
France,Strasbourg,FR,48.6108,7.789096,48.43094388,7.517040235,48.79065612,8.061151765,0.848418512,0.135945371
Slovak Republic,Kosice,SK,48.676501,21.265662,48.49664488,20.99325322,48.85635712,21.53807078,0.849565211,0.37115582
Germany,Stuttgart,DE,48.821187,9.182797,48.64133088,8.909607586,49.00104312,9.455986414,0.852090458,0.160270042
France,Paris,FR,48.876401,2.290445,48.69654488,2.016956504,49.05625712,2.563933496,0.853054124,0.039975807
France,Metz,FR,49.075211,6.188366,48.89535488,5.913786644,49.25506712,6.462945357,0.856524013,0.108007362
Canada,Abbotsford,CA,49.098232,-122.316399,48.91837588,-122.5911069,49.27808812,-122.0416911,0.856925805,-2.134823892
France,Reims,FR,49.213748,4.021308,49.03389188,3.745953544,49.39360412,4.296662456,0.85894194,0.070185065
Germany,Saarbrucken,DE,49.223635,7.060956,49.04377888,6.78554606,49.40349112,7.33636594,0.859114501,0.123236931
